Date and time: 2022-09-14 12:41:57.720400
Program settings and initial information: 
path_to_file_folder_fixed = 120422/
paper_area = 6241mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = 120422/template/template.jpg
leaves parameters(0, 69, 0, 255, 134, 255)
roots parameters(59, 255, 0, 255, 134, 255)
seeds parameters(0, 29, 31, 255, 172, 255)
blur parameters(7, 5, 0, 127)

test_type = Mann Whitney U-test

,1,2,3,4,5
1,1.0,0.004593058719862483,0.3652229024567448,0.8019610127522874,0.07268988508609453
2,0.004593058719862473,1.0,0.08997705489564628,0.02317104200013602,0.5495608012896436
3,0.3652229024567448,0.08997705489564628,1.0,0.4684114826211142,0.34791472326516193
4,0.8019610127522874,0.02317104200013602,0.4684114826211143,1.0,0.12112073201330471
5,0.07268988508609453,0.5495608012896436,0.34791472326516193,0.12112073201330471,1.0
