Date and time: 2022-12-21 16:44:05.880708
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data
paper_area = 6241mm2; paper_area_threshold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/11
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data/template/template.jpg
leaves parameters[0, 71, 0, 255, 120, 255]
roots parameters[51, 255, 0, 255, 134, 255]
seeds parameters[0, 31, 35, 255, 156, 255]
blur parameters[5, 3, 130]

30,283.89838421693514,357.630155357166,331.71808894017107,298.03041753143697,174.98755178884005
31,249.95658016769823,,231.19752774729812,255.08817707161327,475.3507568411641
32,176.4028795134354,263.4830146603088,,139.63118657231755,
33,284.626833607783,319.51467636432335,283.1740449070883,383.79031068505424,310.87153210055163
34,266.70096538286356,,,446.2616577592911,270.2464897718879
35,144.85286826479546,268.85572829090336,306.66445085731607,338.95130440109426,160.97053610330715
36,301.5780478110272,275.0737080045398,430.37443018853645,210.52231717738985,282.16890088025286
37,160.96762755600983,,251.5570864805639,311.3447574135856,303.3497431021673
38,153.5059432551625,,,211.06903468567432,
39,347.27348122070174,271.37487035577806,269.98295835234944,328.7313727547325,230.5137209850076
40,306.3014196062554,,292.58759212685595,217.44014058430741,290.8112652125502
41,127.88671885935038,,290.5389788293898,344.52503615052154,60.36882420827588
42,278.1298525542748,470.8810781045655,323.5033646188075,188.94054144793068,261.1255965948444
43,281.3783430810289,271.8317678744863,211.7528007682107,202.49519458114423,212.61400156153584
44,194.77161685562686,220.52174870751648,254.58279115317112,112.54148548199952,
45,241.33331440576913,,,362.0950955261415,288.9521291680887
46,,365.49399665494553,263.5793221534946,295.5498926177811,292.70205499240257
47,74.32881701767647,219.31754630394914,306.60690923097343,210.17194268147398,89.10103179077464
48,233.89131792629607,,311.67123287671234,244.65695275302164,288.1026804266519
49,247.61372942416043,287.2867570659246,241.0507524073667,203.85886711475933,282.07065949703434
50,267.67561940453885,330.2063383374497,211.67407493838704,278.96919456140654,
51,358.16084644067155,232.0653789341384,219.96872969854456,315.14743173180966,239.13348618928822
52,193.5013221822967,,,271.05393487947276,187.6365198026683
53,93.77971141613868,326.94830738372514,185.8872564727512,120.42882498311363,47.172281105594976
54,272.696013854977,341.2479624688093,335.1303613217716,261.3433036259309,238.4711336246521
55,226.07525284071193,,245.91332503113327,248.71758747427705,207.17142893122946
56,163.29079047817336,259.22086197232954,127.50321383255346,98.35164205373768,
57,236.15541738433683,242.24169614199795,287.60513780331473,300.312595420445,204.93441774539068
58,239.43863872159525,216.1751979216606,161.51211542377317,249.6970031720955,189.1764413759501
59,157.62601049452414,,,252.02523524035058,
60,261.33614092202475,237.90251688878786,189.52339059197476,257.7431662800635,274.5060729892078
61,232.88723903620843,265.08320935760895,245.07543963566806,207.99059135839912,141.42829528139129
62,184.57332538375638,,221.49514321295146,,
63,254.50446690515398,168.23172102749672,172.77406283936932,274.84514915732495,199.09457681812864
64,229.4694316513994,220.31439198963605,186.30467627771006,250.06290191189726,198.43546349378383
65,155.2189137825388,264.4320199023025,276.8318061790762,102.21861836494857,
66,255.80386311585562,,,148.2723232816506,170.97930335352416
67,267.3409264411763,197.2575162502998,223.0970289594723,201.66070840385737,200.29453210593257
68,244.4833658256519,221.439784006738,302.8091691508955,,
69,221.35017571088778,,298.2520547945206,,126.61655106334229
70,196.83755187509493,226.63414849995576,169.47035205382105,223.77596613140133,165.29791065101048
71,48.95724119054063,227.4859565197544,273.4148069775986,,
72,212.4119048069704,190.88433730256423,208.410537849185,178.33061286778172,231.31916092634336
73,186.93586394866844,,,178.0712089044558,239.5321405634122
74,151.0252777620048,236.6584805229996,170.1306752894491,,
75,238.59670723474596,285.7160759125007,338.382681283966,372.4345268946684,352.0704098750715
76,188.44762513285087,,111.97733499377335,334.83586257544533,196.5836590702171
77,160.77076587631146,194.23154075341455,166.647181018898,,
78,143.30765178329202,297.5118633289101,94.19545538401863,172.69230252716397,118.7934805878427
79,149.54869115893476,125.05936354095132,212.32378255909032,86.15560947451839,100.38304537269076
80,,,,,
81,209.77373674281858,167.08963437993467,,,108.21705225142081
82,,197.26985461386482,170.1306752894491,24.01451202804281,151.88694808875871
83,,,130.33524283935245,,
84,152.6003034719462,274.11296957301266,228.41656146384577,177.64487242094984,
85,40.73410242335914,,220.452004963726,68.67210639428893,86.94362414839628
86,,103.56920779506848,,,365.7095407353856
87,189.9874762616799,,,,144.5760618601961
88,,227.28933164315683,,167.60088065762355,39.336224492186226
89,,196.2283861115703,109.66984518480398,,
90,201.50485176562628,,,85.75565254547675,
91,145.33549738484155,,113.62762853325077,38.91555051152354,15.227414398871664
92,,,235.58704574732616,,14.914131373375904
93,216.7629133306835,114.70850771602939,,,126.4965543319602
94,,,,85.54327379997287,
95,,256.93238567170505,,,
96,222.3542546009754,315.4667044497446,221.5213708411421,,
97,41.52161527832983,,,,
98,,,,,
99,,86.90364360743425,,,7.579793532302437
100,,98.63637806600413,,,
101,,,,,
102,16.045574420027886,,,,
103,,145.37328264103715,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,221.81314063963603,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,45.45125746806149,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,30.045383773742337,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
