Date and time: 2022-09-14 12:41:57.720400
Program settings and initial information: 
path_to_file_folder_fixed = 120422/
paper_area = 6241mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = 120422/template/template.jpg
leaves parameters(0, 69, 0, 255, 134, 255)
roots parameters(59, 255, 0, 255, 134, 255)
seeds parameters(0, 29, 31, 255, 172, 255)
blur parameters(7, 5, 0, 127)

test_type = Mann Whitney U-test

,1,2,3,4,5
1,1.0,0.33154442652295746,0.8532669676180855,0.27366203395911837,0.748924181560456
2,0.33154442652295746,1.0,0.27657195953570557,0.7761828255854066,0.24225510070723733
3,0.8532669676180855,0.27657195953570557,1.0,0.16742842084741472,0.8278141619536142
4,0.27366203395911837,0.7761828255854066,0.16742842084741472,1.0,0.15457117302052464
5,0.748924181560456,0.24225510070723733,0.8278141619536142,0.15457117302052487,1.0
