Date and time: 2022-12-21 16:44:05.880708
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data
paper_area = 6241mm2; paper_area_threshold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/11
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data/template/template.jpg
leaves parameters[0, 71, 0, 255, 120, 255]
roots parameters[51, 255, 0, 255, 134, 255]
seeds parameters[0, 31, 35, 255, 156, 255]
blur parameters[5, 3, 130]

27,54.221735152299296,63.020592166507846,73.8064135552417,90.67921188983884,69.37710891737724
28,98.2214117438542,97.87687340753853,71.9289232455922,38.318399275431915,45.50389412821489
29,50.07583688478594,53.971967676349344,64.88107050147114,77.75357677102842,47.143730627290765
30,57.337386941224274,89.91918632956134,68.22645573928779,64.78883713285185,71.20753375718881
31,69.02457541217181,,49.745263850769774,44.83068382647343,79.40435410293368
32,69.39494784929089,77.64360131164231,73.80852458843727,20.564336955760528,
33,101.99125962578265,74.41289334916398,72.7939027682931,60.23760877059552,84.14148661727224
34,55.73540740376712,,71.18713832905878,57.514687713420386,79.18185625067653
35,134.88512658752978,,27.119647985354383,54.668456002978026,47.54882909337378
36,106.07685269163701,82.62696091448754,58.300585169986,33.84681639997964,69.87894403114746
37,50.678611801812636,91.64133038563635,76.58521579597885,65.87833833544471,56.77531888850868
38,74.52851555026461,,,78.11864160370195,
39,95.5405996465081,,48.267118867775466,92.82182330483272,70.01547424728233
40,75.95747119633036,77.27334601076534,63.32681418453214,84.36505415069689,62.58993417635079
41,45.2895375818866,,,62.99853210786225,40.83773309520992
42,93.09787269960471,44.9057192367786,70.21272011950649,73.14834461464774,64.15309266684345
43,62.63454043790051,113.3536032841792,85.1844631567503,52.12981555239538,46.84450793581266
44,63.390916805679424,86.76826976214682,35.066201849008735,48.04183707377394,
45,22.224199363360864,,,71.63012488738279,26.472593465293816
46,82.05204002055608,72.71056493662486,67.23605394401363,64.52924877980722,57.55895233531591
47,48.14750152473819,90.19885591528428,50.85779339698896,61.60954131200222,54.545503644651006
48,46.23204233533817,,89.96381452899816,65.75990175608646,107.50458530686032
49,46.44586004300493,84.59612198660022,75.44016568376756,51.55849172517052,52.372910206371465
50,82.15492821178542,89.67694412211189,80.22228135182728,74.04666455075301,
51,64.93851084983527,47.50422942340813,47.511850455128936,65.4146554400044,99.27643998118145
52,61.84576875456365,,,76.76725550404217,84.99522872883385
53,35.22656185002032,84.52753438169913,58.48742184178397,37.68810224447727,46.46891908326736
54,106.6001833677219,85.73741077479113,85.47916039770195,47.195936648214506,83.22132642200354
55,96.50386483352078,,107.51164658603264,61.27657426579293,73.83846020127635
56,47.8515907319619,57.76853665317249,44.73785102334536,45.811867901664755,
57,58.66572805502399,74.43120398954616,90.8273834699996,60.38946070898235,88.46428172889271
58,76.60908823405651,89.14986504033766,49.1236511692097,,77.5687072900385
59,17.25722251035383,,,57.05797397302139,
60,59.52237765905002,81.29956315897641,45.57493757206871,69.77435257362843,79.82400814073006
61,85.87173789322996,70.27105934926577,83.235421183085,33.614517871429435,31.12576217205578
62,100.63014560898563,,49.820930079417955,,109.20138290766207
63,95.33650757783731,22.18081605107516,73.52737745283869,58.71780086794593,73.9549188523781
64,95.59291673438855,60.17748825378914,72.37082827029876,36.35013051149468,93.79589594880586
65,46.11097204350654,79.12583715302696,67.93100179984155,47.764737665596975,
66,61.34809161399054,,,54.5324562460143,90.92018711392404
67,72.26376725852695,66.1297999681854,53.12150574770341,47.943537958077165,65.24019825110268
68,100.94664776235399,64.38598766825051,67.2068666718563,,
69,67.66151214647724,,78.35452007710077,55.84511002313449,62.190413551429764
70,37.40425789981685,88.64430240616073,53.921050898779825,74.83670164385651,44.93407186106789
71,18.587888388657042,81.80933566390794,63.575472819835824,,
72,77.84836844361,100.63741570796738,45.06645705033651,64.34718675027285,94.74847208254064
73,46.24430879664656,,,57.257406845466114,49.102552401004
74,95.01761372053922,78.26558355360878,57.19230415877988,,
75,35.559631543223645,107.91033527804488,104.08824610794622,43.19600044643129,64.58643742143462
