Date and time: 2022-12-21 16:44:05.880708
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data
paper_area = 6241mm2; paper_area_threshold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/11
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data/template/template.jpg
leaves parameters[0, 71, 0, 255, 120, 255]
roots parameters[51, 255, 0, 255, 134, 255]
seeds parameters[0, 31, 35, 255, 156, 255]
blur parameters[5, 3, 130]

29,100.15167376957189,188.90188686722271,173.01618800392305,181.42501246573295,47.143730627290765
30,114.67477388244855,209.81143476897648,250.1636710440552,172.77023235427163,94.94337834291841
31,184.06553443245818,,66.32701846769302,89.66136765294686,
32,115.65824641548481,181.16840306049875,,54.83823188202807,316.9757435362353
33,135.9883461677102,198.4343822644373,145.5878055365862,261.0296380059139,168.28297323454447
34,111.47081480753424,,,210.8871882825414,131.96976041779425
35,179.84683545003972,232.46693908446235,153.67800525034153,145.78254934127472,95.09765818674757
36,212.15370538327403,220.33856243863343,330.3699826299207,56.41136066663273,163.05086940601075
37,101.35722360362527,,204.22724212261028,153.71612278270433,170.32595666552604
38,74.52851555026461,,,130.1977360061699,
39,191.0811992930162,225.34479369665232,96.53423773555093,185.64364660966544,116.6924570788039
40,177.23409945810417,,84.43575224604285,253.0951624520907,146.0431797448185
41,60.386050109182136,,254.55943178592025,146.99657491834526,40.83773309520992
42,232.7446817490118,179.6228769471144,187.233920318684,109.72251692197162,106.92182111140573
43,146.14726102176786,188.92267214029872,113.57928420900039,86.88302592065897,93.68901587162532
44,105.6515280094657,144.61378293691138,128.57607344636537,64.05578276503192,297.58763853660946
45,74.08066454453622,,,238.76708295794268,158.8355607917629
46,273.5068000685203,218.1316948098746,156.88412586936516,150.56824715288352,153.4905395608424
47,72.22125228710728,150.3314265254738,135.62078239197055,123.21908262400444,72.727338192868
48,107.87476544912239,,179.9276290579963,131.51980351217293,143.33944707581378
49,123.85562678134647,253.78836595980061,201.17377515671348,154.67547517551154,139.66109388365726
50,136.9248803529757,209.24620295159443,187.18532315426367,172.7755506184237,
51,162.3462771245882,95.00845884681625,79.1864174252149,239.85373661334944,198.5528799623629
52,61.84576875456365,,,230.30176651212653,113.32697163844514
53,70.45312370004063,281.7584479389971,155.9664582447573,62.813503740795454,46.46891908326736
54,213.2003667354438,142.89568462465186,227.94442772720518,188.78374659285802,110.96176856267141
55,160.83977472253463,,215.02329317206528,183.8297227973788,147.6769204025527
56,143.5547721958857,134.7932521907358,104.38831905447249,45.811867901664755,258.7872516895807
57,78.22097074003197,198.48321063878973,272.4821504099988,221.42802259960195,206.41665736741635
58,153.21817646811303,148.58310840056276,98.2473023384194,226.36582926800332,155.137414580077
59,46.01926002761022,,,171.17392191906416,
60,138.8855478711167,108.39941754530189,75.95822928678118,162.8068226717997,159.64801628146012
61,143.11956315538328,163.96580514828682,194.21598276053163,67.22903574285887,93.37728651616733
62,150.94521841347844,,116.24883685197523,,218.40276581532413
63,190.67301515567462,44.36163210215032,98.03650327045159,176.1534026038378,172.56147732221552
64,95.59291673438855,120.35497650757829,168.86526596403044,96.93368136398581,125.06119459840781
65,107.59226810151527,237.37751145908092,135.8620035996831,79.6078961093283,
66,204.4936387133018,,,127.24239790736672,121.22691615189873
67,168.61545693656288,132.2595999363708,123.95018007797465,127.84943455487245,130.48039650220537
68,168.24441293725664,160.96496917062626,179.21831112495013,,312.05928393234757
69,135.32302429295447,,261.1817335903359,241.9954767669161,82.92055140190635
70,74.8085157996337,88.64430240616073,143.78946906341287,124.7278360730942,104.84616767582509
71,37.175776777314084,163.6186713278159,254.3018912793433,0.0,
72,116.77255266541499,167.72902617994563,135.19937115100953,107.24531125045476,157.91412013756775
73,123.31815679105746,,,114.51481369093223,130.94013973601068
74,95.01761372053922,130.44263925601464,133.44870970381976,,
75,71.11926308644729,179.85055879674147,277.56865628785664,143.98666815477097,215.28812473811539
76,72.08815737205413,,75.018944332943,143.70185603216873,128.3103734006079
77,117.93653643194448,180.08653418792053,82.89591267636213,,
78,89.54794628016238,254.15421759072197,41.70840068593851,129.59678413802683,81.50435806935448
79,147.32896207171808,51.98518038797253,115.16495232240449,34.3219228959026,53.10113805705106
80,,,,,132.93380712645356
81,89.21872337304741,65.19422539911768,0.24872631925384886,0.0,86.11213563337337
82,,114.45977478744807,82.28923500002794,0.0,98.66210160894019
83,,,151.5446918001254,,
84,75.96833485135842,211.92303729078358,205.76029500148155,100.12560817261678,
85,22.089321932385488,8.305922310810034,72.22628642160782,25.96504222916245,65.62612721000758
86,,88.38308276526983,0.0,,63.052491879727924
87,167.2885286000056,,,,140.87019657172016
88,,89.6241272180556,,93.70618330874156,41.52185238466813
89,,148.98766087903616,91.74447947334825,,
90,97.9600334768784,,,59.09583244167939,
91,147.81003623358492,0.0,87.5795907012627,17.91635468834607,15.519077238982375
92,,12.32773732446542,236.6062265911899,,0.0
93,149.64413147570224,161.67595806424873,,,121.35250068433542
94,,,,59.7851629730397,
95,,193.0298932079393,,,
96,188.48752925365838,219.56146605583714,172.32634039908422,,
97,49.320123969722765,,,,
98,,,,,
99,,66.20111928690868,51.20607551418619,,0.0
100,,67.18231456389083,,,
101,,,,,
102,28.58883430677387,,,,
103,,78.85923285347162,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,114.5796718961135,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,21.29610046173107,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,0.0,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,0.0,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
