Date and time: 2022-12-21 16:44:05.880708
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data
paper_area = 6241mm2; paper_area_threshold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/11
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data/template/template.jpg
leaves parameters[0, 71, 0, 255, 120, 255]
roots parameters[51, 255, 0, 255, 134, 255]
seeds parameters[0, 31, 35, 255, 156, 255]
blur parameters[5, 3, 130]

28,22.172661593210915,120.58807436687421,87.09277464284716,17.049349110808194,30.865915822651758
29,69.34095039110268,90.48535864482942,59.98061597589481,112.37604823313339,12.435812739860017
30,29.50007711139974,46.12686440675111,119.06845197645534,77.14422902845779,60.79051783663861
31,59.09996078534063,,89.76256499294456,132.5050009214683,70.2367590111308
32,92.4196917630841,109.61729638059428,133.2347804150571,66.21433348840955,
33,114.01234916724596,113.26519992811154,99.95244800872526,121.89815460185572,106.0050276062368
34,125.1878910894899,,,125.70272430928625,88.79874075787315
35,33.954040037639885,103.25548563349413,70.52806486352223,32.41992870148194,20.227592378919702
36,156.3585354334245,91.11164330170433,57.50035507074489,14.153108675551099,93.85412267971994
37,81.61484832245446,35.78134995454112,62.477206129521846,71.92863731684689,41.886321336645935
38,94.81169940125531,,,65.1887421880869,
39,162.44619470168567,99.33708681804191,46.00501844845625,123.47514696802342,101.4762977838667
40,87.80806843899515,86.81654669457325,125.75937123416452,28.573273814542596,98.0105594285038
41,53.519062902989,,96.42693208592873,92.65664726883251,0.0
42,122.58120427609973,44.42837716925726,120.0346441561181,192.37554581170502,90.78244780540913
43,100.63850282731481,92.13758128192647,45.50092372173805,108.38740704891403,40.836866472298574
44,95.92167780597931,131.70686723294642,77.30944730583403,24.67545679331537,175.90083342107468
45,105.80162276249206,,,139.7110849223031,121.0173203797194
46,74.38212069896291,10.977204757768709,120.68810135876551,11.25697796249337,72.38819779557073
47,17.62210498137338,31.074030495703795,79.71211001410566,85.09372392158843,76.58944814925816
48,105.87300129757553,,73.53238505914925,123.89870554136021,59.91827151555091
49,72.5968798614263,130.625658417213,84.68825673422941,97.16547854132443,98.22964029015526
50,57.125813699361,121.22308569637948,46.977439175005216,0.0,116.58089282154005
51,184.42429002191855,45.395096019684125,85.75376086884275,113.63292510825345,68.16416534320436
52,50.49900619799569,,,97.98976626853964,61.258261740213946
53,21.38672608033534,95.8479060400564,49.603134525481856,65.16775079830317,0.0
54,73.31739024802091,82.14530588845713,114.14360265702895,36.161478169190914,51.151212323282444
55,82.74886758606877,,63.427307237843884,67.894305477244,74.96670026727662
56,33.378974369899304,50.50876707474843,40.14581164200492,0.0,91.27420327958737
57,94.43084902311074,92.59345903891887,46.56373143270082,98.78406498960314,66.24714640086435
58,40.72496303222961,44.227033559239075,75.79923826170904,21.02404557019526,38.99945337183579
59,54.722418709665234,,,48.25211897240702,
60,112.87202522800607,58.95936879991696,20.956179406340155,14.053106108394086,88.89506610104087
61,106.48327741459349,96.05647259344207,107.80983087505874,78.91895834616795,32.074722824856934
62,40.14437282315086,,65.46429960490542,,88.61346069640068
63,42.118391475906485,70.1798983641354,46.78624423233655,139.43147634674142,87.84503604222775
64,67.67545926835498,74.71979290498142,22.727080091227844,32.26727272154524,34.65832090104243
65,27.795777544149185,74.63635232264632,53.93576676459926,20.951954032738318,
66,74.78030582796684,,,57.30088971034226,57.2370268061393
67,79.31710243779435,52.26873522538093,100.17985492918592,16.28128685192604,80.14238813261458
68,63.88572355329666,72.07906817678857,35.205588362213255,,61.80145037417777
69,77.60150708113689,,77.69311493425943,41.56372570992181,24.253432274604872
70,63.975555266832465,74.72870486359585,34.4523800596916,137.44432620288893,59.49394535109855
71,10.05942425407304,102.20273372670026,29.621951338947834,0.0,
72,78.27922947747052,55.72064043899892,53.4146607199636,51.559776571476625,53.1077841579821
73,44.395619564969685,,,49.31931372868934,43.39280121594172
74,32.15333172246507,75.99172308826508,22.56697842626984,,57.55007196003758
75,77.74115115753463,65.1555258992404,72.4750228718138,78.43311803437084,72.9045446425907
76,58.71790412102556,,34.072504157947215,64.00364764055234,49.176507106684646
77,63.75612934437428,55.33029848742906,56.79329436950297,,
78,58.76576002289223,96.25976972043,53.14208604047597,35.093639774814704,51.96387798085066
79,38.63785110572577,116.76079764719547,44.50145772656705,45.35322486071837,0.0
80,,,,,82.1423205382484
81,98.7630220745053,101.95619998427199,0.0,0.0,57.47689697730184
82,,162.7579803587451,51.92796420340559,36.60994073918902,31.810150797991888
83,,,0.0,,
84,89.14732762467672,61.827726448655966,39.473076188104656,28.95742840464298,
85,11.552461470385513,0.0,0.0,67.71835189437239,77.31904649697903
86,,21.117532693834924,7.136802927957428,,0.0
87,98.09653391275229,,,,14.270020991758274
88,,88.9717109033712,,52.800573306369515,14.469313357743372
89,,95.27547139167469,35.3841965322417,,
90,53.80377160333393,,,63.92889287831101,
91,0.0,5.023758175995797,0.0,0.0,0.0
92,,0.0,0.0,,4.515971755184938
93,174.15356300914576,0.0,,,49.298813358176425
94,,,,0.0,
95,,36.25647267687201,,,
96,35.83000268070695,78.94330635948367,76.41293651405016,,
97,0.0,,,,
98,,,,,
99,,0.0,0.0,,0.0
100,,0.0,,,
101,,,,,
102,0.0,,,,
103,,60.998196425217074,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,24.131935851020298,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,0.0,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,0.0,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,0.0,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
