Date and time: 2023-05-30 16:10:03.780793
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/Desktop/даша/lab/plants/morley датасеты/wheat 4567/raw_data
paper_area = 6241mm2; paper_area_threshold = 1000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/11
contour_area_threshold = 344 pixels 
template_filename = C:/Users/dasha/Desktop/даша/lab/plants/morley датасеты/wheat 4567/template.JPG
leaves parameters[0, 113, 0, 255, 105, 255]
roots parameters[50, 255, 0, 255, 120, 255]
seeds parameters[0, 20, 86, 255, 101, 255]
blur parameters[5, 5, 139]

,4day,5day,6day,7day
0,52.069963733483995,84.74809443804398,134.28619639749812,206.57670828371738
1,53.578069749400555,126.14520202923548,47.8743156972217,44.22848931893621
2,50.815757767595585,,139.2798065755831,
3,,150.26310020675254,120.44007682338794,277.83268856344677
4,45.47071442826329,94.94706554435591,118.24534610246772,144.46796321004658
5,55.805898853030186,81.77920282251996,,91.87945912139858
6,60.99594573245759,132.70012611489932,62.08633805575929,333.12506491126095
7,56.00064423054876,100.65472209851515,158.41481780624474,165.74950391067097
8,,79.68620531341429,77.56398207884985,207.88586789449312
9,40.64434836450433,115.53493947124693,126.60839025954823,
10,51.73296300454313,33.98371311087393,95.28882148060934,49.96264478140452
11,58.81353464511061,93.30734385982221,104.88679524915823,208.83652984425387
12,44.93883859053311,144.89741958615295,,202.52122103845937
13,,74.63032638972467,11.83149909158355,196.2769576758853
14,89.49791833544835,167.71059826775877,125.22650783816407,167.05485717249562
15,46.41399227201075,79.04611206370217,85.24431435087394,40.104319424246924
16,47.581082687041764,105.07318951705149,136.47417998021814,
17,31.043716559460215,86.44307050535738,93.85553278071944,222.66951257508646
18,,59.28240741026924,225.0647044748047,46.04605940687851
19,40.28172888958529,69.13252433111214,,102.07134641202944
20,41.68289255354711,49.463942064856084,41.16011133286763,178.99131042133678
21,46.06521456041449,93.76845376600083,76.20665395335695,145.46759570911388
22,31.11646758989194,82.6293390477404,80.8628442854023,111.62647684643026
23,,55.69955492501473,125.30577659095535,
24,41.55697186259312,65.31306422145882,75.04927631321681,165.3838264920427
25,28.34646742236608,50.47330579813404,147.50858809805115,276.1076829061817
26,41.26137738942634,155.20324818486984,,148.3732611871189
27,25.41557992396336,67.65982076950962,94.13356995414934,121.84631673335056
28,,89.54160471542602,235.8463525104721,164.4780181416415
29,42.88174790820589,98.13676694886202,114.97644281598988,73.85274585008382
30,24.72083590711971,39.49387820799877,233.903952471491,
31,42.0507601231476,79.77812996394337,82.47029809795772,103.74489649992393
32,33.44338577354475,69.07898222952412,82.31471643200317,191.83340833184693
33,,49.50359674786263,,74.15161941467
34,54.35455379210976,88.38705584199835,35.2746082382224,14.39759237336187
35,19.04099958715924,47.6151319922629,147.7120787928696,100.29395188346375
36,37.64372496804072,100.07500976782718,169.783597985455,54.570535843261226
37,43.76021919716341,64.9415417618241,103.42849392797417,
38,,65.5503182797603,26.595203064068283,88.30424293912048
39,39.69336434792305,82.89232069699982,51.52309898874503,163.4284878894151
40,22.455843883422716,34.342097832638146,,30.929092734642005
41,47.431332139027,38.706945996314204,36.56998697863294,84.78223147857871
42,24.85192182881045,51.502101122526504,207.30375133614817,102.6873788496705
43,,39.907653970923455,51.314810210149645,36.95795087352353
44,48.59954674210987,77.04555516666711,119.14659486767889,
45,23.98773112202029,37.779007314356996,23.138881183424715,116.03996296559626
46,10.01110798975568,20.805911692666136,45.8951032894649,151.7289725204888
47,28.602864788453093,41.70856694924123,,48.64308184199387
48,,33.76262214083931,22.630548562181737,71.13550056632745
49,0.0,54.45876087783513,104.24979397372334,83.67887182494464
50,0.0,21.950256876252336,64.19135068628273,63.20806074505478
51,28.956293599065678,15.593500388363154,125.09554782127512,
52,26.160087120807027,74.94722180155448,85.01909078094373,73.54705304426207
53,,59.49401018862699,44.73593029136881,96.23141469169276
54,29.423004600369545,42.568617567174414,,36.83899740815512
55,0.0,45.35346840884372,50.11465779408459,87.11994651127037
56,23.404080589614534,15.195813413463268,96.88006899560418,68.24929832934714
57,70.16939935540209,32.19936493936004,38.913600875823114,0.0
58,,34.01098988068778,106.34887507769803,
59,24.050301748717786,61.76284474248598,98.9567375626003,66.33261919103398
60,29.42777245636503,0.0,46.24593121842866,58.83443451328302
61,24.707557120507186,0.0,,23.633215313306593
62,12.89812321732898,21.299717811581075,0.0,51.47570071798682
63,,52.55646195532681,33.47752312167124,71.5953135110036
64,24.04176856968002,42.4493413895553,20.32564990724663,79.95868749049635
65,0.0,29.732872105503912,42.899573731998295,
66,0.0,0.0,42.690383668968195,37.26970841485232
67,0.0,18.280344094169262,60.96959769184481,48.37463422797602
68,,67.24673293474342,,41.24692964034058
69,0.0,18.27735218258057,0.0,35.986400394086345
70,0.0,18.315581056244568,14.432702744277812,52.32048152323219
71,16.180233555812507,0.0,22.237862003128214,42.522555622682134
72,0.0,33.10117310502135,33.59769163552426,245.12852235877472
73,,25.5803465327511,0.0,0.0
74,,26.40215781911524,88.21810798871954,35.93175150829485
75,0.0,47.37955284600669,,45.70508528223659
76,11.311267786473032,0.0,0.0,19.83676288104755
77,0.0,0.0,11.090142433143455,0.0
78,0.0,23.905157870752326,,42.95271043842443
79,,0.0,17.444083965241077,
80,0.0,12.34623553435933,27.293116936685127,21.773159086727105
81,0.0,15.797261117174521,30.280417869712696,65.24006838371257
82,0.0,0.0,289.56405758484294,23.997097412136334
83,0.0,23.32807247045561,0.0,0.0
84,,0.0,25.987688636136667,0.0
85,0.0,0.0,,32.04006350270946
