Date and time: 2023-05-30 16:10:03.780793
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/Desktop/даша/lab/plants/morley датасеты/wheat 4567/raw_data
paper_area = 6241mm2; paper_area_threshold = 1000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/11
contour_area_threshold = 344 pixels 
template_filename = C:/Users/dasha/Desktop/даша/lab/plants/morley датасеты/wheat 4567/template.JPG
leaves parameters[0, 113, 0, 255, 105, 255]
roots parameters[50, 255, 0, 255, 120, 255]
seeds parameters[0, 20, 86, 255, 101, 255]
blur parameters[5, 5, 139]

,4day,5day,6day,7day
0,183.99481848999844,245.82137001842068,273.2506721895211,595.7591402108068
1,167.7004292419317,255.54612225188419,185.3831659027279,359.9216493849424
2,187.43432379678518,366.129374813252,283.5309938882972,
3,,224.81211606660602,311.2811561342025,661.5696077546803
4,193.63427029815878,218.2923528544347,281.4072931397821,366.6173898701868
5,188.21685412597566,264.80434282439865,,393.84271595999013
6,159.278537747949,207.8409831073017,250.48588397021146,668.6920177162731
7,166.75927927647692,195.23398035235581,324.480448974154,613.7130327551599
8,,235.0589632497593,274.1999795836743,428.53366072003615
9,232.86067038109454,158.3871930872711,339.82627818206055,
10,165.05170284893248,124.89748520774278,274.3504453072162,754.683182020146
11,165.46882204882567,220.30664760739361,223.1404752547555,423.99941714584
12,120.98298352165357,172.05103954638997,,342.02376300427574
13,,246.2542107758201,62.82088831579007,622.8995904830448
14,182.25906567111645,212.8084785520241,280.22366652132837,379.7281978811309
15,94.49139932200346,240.9627404420096,276.894563065528,356.9874508919946
16,179.75110808470416,175.87203307753302,266.3753141856357,
17,139.69729612031756,257.7263638391323,274.6124979942805,403.1380034149738
18,,171.8460186550955,283.18407379786044,372.5134881099352
19,143.18313125785056,162.25816318309035,,427.1375603275717
20,91.37157652904683,161.67135070057924,165.77340505904874,386.07481575945826
21,167.68102396199163,189.99864463326904,432.17447254317756,430.9608324257181
22,116.38205812135962,184.25535204016504,256.75829580578386,383.49572357828305
23,,187.24721552796368,303.19325194272477,
24,193.93520163749852,173.83312278333418,251.10262835480012,391.85472912584504
25,55.95131296350343,135.28303170007135,332.2386702274155,489.7359158256113
26,127.78376840524417,208.35467807296482,,531.0368951908491
27,137.46477957587112,246.5201084646473,190.00482558040454,425.2304055466469
28,,326.3940397515077,271.4176628394254,368.2233255623464
29,154.468056483091,225.692736861148,254.71124788933682,214.87979648354482
30,120.40274191979286,189.16144072027333,526.8129140789731,
31,141.6779488423216,236.09420621877373,375.37175617049286,398.2082112585183
32,119.41051534686956,148.44786416388095,236.92983818810285,247.51620542726891
33,,192.6077392052672,,328.2613960391004
34,160.9531268458625,216.64149796062944,69.96445998375378,235.63399650107814
35,49.74903052481123,117.88949905291932,212.13776251725892,264.43229970206215
36,124.81476057441618,257.1899461420062,442.68455605369155,225.8528949571714
37,143.73523908766416,123.77659256599132,237.26202300159827,
38,,135.49754464322587,206.72213399555815,234.5263622017218
39,133.3727695953749,175.21832286664204,129.04835170956173,431.054748259844
40,87.35503820278532,121.1948121104778,,164.10268777470927
41,145.09327811177081,90.59866877745372,154.4642270834635,396.6517282064448
42,54.88108061869619,138.29219523075392,332.54946951529683,392.8958837772397
43,,69.04766844342109,301.5426910390738,194.501185032524
44,149.23185117857943,180.13293686084396,344.28470033233305,
45,42.14563006533013,104.77661774260532,150.99850189624843,303.88343805806136
46,44.379875222899535,55.83864276758204,147.279666288105,298.462491573434
47,63.461709424307685,134.52759381588788,,136.9700972721316
48,,180.1754477536748,27.847521316057055,299.30560851638137
49,166.8664276638885,174.34545706072203,309.4573311048131,253.39930691197782
50,29.068528537967058,55.61234373892118,196.93436485982184,183.7290590584144
51,65.64806203719682,45.51337395775316,242.43954549868891,
52,86.48574961312045,80.59748982617882,163.9888279550059,287.79786623721304
53,,94.8194168919957,197.95654070981857,187.55588434508167
54,137.2698304398246,157.70408071742062,,149.51868696086677
55,6.48250604284998,71.01907618754079,181.86859879232676,277.8540890667811
56,51.85090799981966,64.63994984594363,235.45666497105344,256.2305840841787
57,59.249047770873986,69.93403744639544,129.27734239684315,0.20097249951697047
58,,81.15008151487173,326.3071916618794,
59,136.03601194853164,129.77237492797974,194.68642843967768,130.15076275124997
60,25.23880594781073,94.69812219004994,131.94527669555907,154.15798550230338
61,103.41073680053853,35.89015493433056,,96.95279414272764
62,48.39707604613003,25.038976852364918,32.29674337228259,282.24946162339313
63,275.24571572580646,151.0842981049238,185.71975147155,173.83143019163433
64,79.77689805896635,96.8691291135161,103.12526085203017,209.33295549687645
65,10.42431807466942,103.29554850369934,179.8161781529259,
66,52.2390135986207,71.42072339269693,58.92441849130904,40.2883014165502
67,46.90226062071807,49.50013116198295,110.91360129721835,117.86200447388605
68,,116.94188576025215,,137.11948524461656
69,1.8507277369394306,83.73819133750177,38.48311188870774,122.17734791825373
70,14.179314370383674,67.74988676995562,27.362861226170576,104.75725537143217
71,22.93704088914178,24.811466841529093,11.801857885638453,181.17670831454888
72,77.80805487079388,92.64421435375019,59.80860313107487,
73,,82.55206463047419,37.71686888817907,21.567840684492854
74,,56.20496776380699,161.86085538429165,79.16761060218121
75,11.769391374626764,70.94682890759415,,45.05914720077077
76,28.913867110677877,28.424454766693096,19.729020512267027,73.37295223985713
77,8.444736494210414,77.56829892026335,8.938282707167598,26.62748769093675
78,,84.11898693614752,,140.64055516197593
79,,26.110072803172997,29.85293725505042,
80,56.79198377597677,29.85618843794632,28.58246093908161,12.09074024578959
