Date and time: 2022-12-21 16:40:57.860628
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/plants/wheat_4567days_old/raw_data
paper_area = 6241mm2; paper_area_threshold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/11
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/plants/wheat_4567days_old/raw_data/template/template.JPG
leaves parameters[0, 113, 0, 255, 104, 255]
roots parameters[52, 255, 0, 255, 118, 255]
seeds parameters[0, 21, 88, 255, 179, 255]
blur parameters[5, 5, 139]

,4day,5day,6day,7day
0,190.45988919418042,262.5827389660397,287.6123949325388,624.701084637749
1,173.13390762514632,280.3013843729516,192.1509569734303,369.7492046113223
2,208.05112875506438,,299.6799331054132,416.12370174432084
3,,209.98671916489045,336.15744335623225,681.3156887334169
4,260.6608664546281,224.21943331437726,292.35720851834685,381.50753627226334
5,186.67627584343046,270.4396306602361,281.29484151441943,453.9396041395455
6,180.93483016104733,232.09438682856032,265.1275469918939,697.9711528344213
7,179.0478268646038,225.82693529318985,330.1306530533149,629.7794071847125
8,75.4978855769754,216.88633439979395,293.12472868878655,455.64485090487545
9,305.50532921698687,164.70573645833787,355.13284270718964,550.9588501393663
10,160.60537813611998,144.0610762135873,290.4292494635169,790.654045006761
11,180.10040312362509,251.05929781455163,222.44529521941445,432.6736769290631
12,126.61280785112717,197.903361593816,155.26621708558085,376.1910544696427
13,142.97812478128668,227.90404459165558,65.4975119432405,626.3318335949808
14,239.81110324823274,210.14927554477038,304.6385951844585,398.85055402036056
15,96.9325706049277,257.3628729898954,299.16143121790077,362.534291878663
16,195.663437635547,199.51086357262858,285.70884065294644,382.0505238716578
17,148.74384142216135,280.68068259267136,290.8410465431893,425.0169490378057
18,131.09725412736304,159.9193541618734,282.88587568588105,381.2876817616286
19,185.04650175359464,171.11768255360158,310.30781758224947,469.0895785996448
20,94.13990360794558,178.8300796879047,179.9364665049619,403.5162144303169
21,181.90509415804996,213.49071224230218,459.1782907007727,458.1725519140931
22,128.32116833731226,202.52718751040052,277.93897526779693,390.8915115605076
23,124.3220517446517,175.39833389043963,314.9043147337631,499.2470463995776
24,253.65270582380063,178.2701632683183,268.90349302609457,397.74573227797435
25,64.015134453403,150.7078259686776,337.80463167492195,503.46682935343216
26,136.76841301748837,235.68868900590533,106.69287973331053,587.1714375841656
27,162.27483300024105,265.85192838362485,217.30284138354133,443.98516255115453
28,116.26557899730155,299.80814995854263,287.8958499866773,389.4803748076006
29,202.28541211418968,226.87452085241605,269.6045658936912,224.5867682102145
30,126.78708166298814,207.94573350639806,548.8790218641927,369.9675370501058
31,160.44285454435214,254.18399267224353,382.4658967703042,422.41868438911536
32,131.039014565334,167.3788858163633,246.42311608579527,255.09119265731857
33,112.96533714898942,177.8005559486652,180.83507212342334,366.39753535955214
34,214.57395970231656,221.8172112561517,78.31339858328457,246.49109205924316
35,59.29462636818161,129.37681656443405,227.29315941186445,289.89132379812236
36,143.13334483782552,298.6883171193698,467.1238015867836,238.3131899272236
37,154.52897125037907,142.70643971458793,258.60903043999974,199.26366204143247
38,138.24130706959164,133.54909698135214,226.6568562615188,244.13125646271973
39,176.52411251001217,173.44765733188052,139.71151830340872,443.526495044939
40,87.88793297599206,136.54735909913742,160.45111667963823,192.07289519993978
41,157.92016815214535,116.62517165385323,165.897486949063,407.28117498677733
42,60.06440163928051,164.5973655384179,346.28759113920984,404.62546063350044
43,105.97658970550495,73.0961854860065,315.5795910375677,211.26229149223934
44,202.9260472965091,180.04022162701082,356.75595491857916,227.1474777834754
45,47.49335615512814,120.88776117070461,169.36090803982344,331.92302784448515
46,65.02709307911515,69.1948323688883,155.2100629383528,300.0014731478768
47,75.9638020732077,158.88983042263385,143.30538372600446,158.59504926238523
48,89.45596727660136,163.6039654391517,42.54236229060275,314.92581696458006
49,216.84530262144904,173.70052281169373,329.29918489450864,268.07251320917754
50,43.52957074005675,71.63317806708717,210.90860012617958,187.1857860501063
51,98.22952705654458,52.32509250134936,265.2452993549215,193.20104452782164
52,99.62847744433988,93.5421657109038,185.17765950905982,295.3994540429759
53,54.82284105666715,85.90201585654731,196.89515823064798,190.0942046042276
54,190.40454146026607,164.79604555827115,122.8839921840673,168.3086212776996
55,20.64771857123553,78.89402970172385,192.965064956459,292.16093918133083
56,67.2392949922811,78.49666966201737,254.73160865247195,262.79195657848544
57,63.71408085976685,86.89541595581352,150.01936873390332,213.0911412378438
58,44.106761643324276,88.91833979431925,340.7302900466319,181.73065668848125
59,180.75618735078888,134.68699164051162,203.7646822415471,152.00904399980368
60,31.602180081978286,109.52687639909648,142.6876881064958,168.98817158329769
61,125.7462140115387,55.75683829881445,132.80455819435758,129.27445225319568
62,58.899610398699764,35.23861079397052,42.861430007782275,294.06968662623404
63,85.02976056239451,140.12359945649578,207.03557154276578,191.42579547602546
64,107.56847106763196,102.62726116419297,116.43107230893582,186.94461905068593
65,20.035133552542675,111.45949113766893,188.30156224537998,192.96867939663795
66,66.34665211503871,91.8082309921846,75.99527924863872,55.17615660470917
67,57.34655541125877,63.12606085337107,116.800626234361,126.63619812557944
68,59.90909614053641,103.38585760363263,100.92772061789655,151.4397842799109
69,14.229866322428123,87.74432149518645,51.0153827801478,139.18096047789604
70,23.8007296968605,75.01073840459229,44.18119443838868,110.19510517835765
71,37.62683780376135,38.634232951462295,19.30073749792908,141.60522315965738
72,83.47670557495351,108.09999262015046,70.61565405754185,66.1606900788473
73,24.26648417876556,79.6526261411635,49.77129249313556,34.81252147188389
74,,64.85999557209028,172.16861540122636,91.47946319772366
75,26.377190216656906,76.81692040325814,99.16822400475073,61.83907780942911
76,49.929785285754484,44.12502622740645,30.541870927795227,85.08810857600615
77,18.986097221466174,92.1152819319578,18.29229949373834,42.28939395303203
78,37.38979882264197,77.1781568029913,,53.177323372190386
79,,33.23374877545144,33.674441955283996,83.52470260911947
80,59.27660916174946,41.451876869381,41.3107343107748,29.59486807166828
81,51.055291522277514,43.52898616784672,154.23672438639977,157.11602800902463
82,29.702176634809042,112.23614939709523,94.9005088154183,92.93849767739022
83,63.59760173570877,125.45740162732918,16.130645701853545,15.847857226031193
84,,101.03782100536704,73.0180219460795,40.01987812452181
85,45.65560109904959,45.78671366617902,,20.720264700199657
86,64.13445020187274,35.67209447365032,50.87121310633506,26.5741213662803
87,17.724240044170365,85.79364493662736,41.47919675245897,29.510371660328758
88,35.07962952882349,34.37164343461092,124.17553757031264,120.04056280653884
89,,26.406380820494565,59.149035080221275,172.7057114903933
90,31.259853159767577,45.967331866045605,23.93007878846405,
91,18.687284582270333,27.68877003954731,,9.302767851517142
92,20.500325834221144,15.009372408913123,,28.136149932375865
93,21.703943449487916,32.041668656331986,43.70075536234842,47.022252910445104
94,,100.8752646254871,,19.307429991081236
95,16.665915949731993,17.032296247418863,92.89767756428424,44.450584695594806
96,19.463495779872424,106.88985068104435,62.742900502817,61.939011677899416
97,20.228541211418968,14.68425964915327,22.458822092580704,
98,43.932042957237165,63.30667905323766,,
99,,28.9530974386134,,38.98866490629227
100,17.278500968424844,22.595336803309646,73.3482353754508,15.483967377967772
101,25.032811122667425,16.237576168005894,,40.642773854311045
102,24.965358923114007,26.442504460467884,,18.96744823566523
103,59.21022139618796,49.092026723737504,52.59771790361449,56.362701817256
104,,51.078826922269926,30.55959691208298,
105,27.440205396153324,13.817292289793668,,
106,23.79087320650408,32.041668656331986,,
107,51.289640960238884,17.17679080731213,21.696284749713175,9.50584627569645
108,22.169859945720212,18.06181998665839,,11.913993998872884
109,,29.07953017852001,,28.84091444053206
110,15.638935183099859,19.63319832549767,66.61753666155302,19.027408556747417
111,22.277261371180003,28.28481009910704,16.875137041939094,
112,18.17074335305965,18.368870926431583,,
113,31.915279991912463,16.689121667672353,,
114,,39.37476757091529,,45.94492366586618
115,30.35899283816044,19.19971464581787,,46.64201905941725
116,21.792129372678698,33.071192395571515,,21.80557010022209
